category,product,lot_number,file_name,url,sample_number,lab_name,report_date,notes
Beverages,Choice Extraction Blood Orange,25015688,BO100coa.pdf,/coas/beverages/BO100coa.pdf,,BADGER LABS,,
Beverages,Haze Half n Half Iced Tea,HZHH102,Haze%20COAs.pdf,/coas/beverages/Haze%20COAs.pdf,,Kaycha Labs,,
Beverages,Haze Peach Iced Tea,HZPE101,Haze%20COAs.pdf,/coas/beverages/Haze%20COAs.pdf,,Kaycha Labs,,
Beverages,Choice Extraction Strawberry Lemonade,25002796,SL100coa.pdf,/coas/beverages/SL100coa.pdf,,BADGER LABS,,
Beverages,Melo Half & Half,1335702,melo10.pdf,/coas/beverages/melo10.pdf,,,2025-09-29,
Beverages,Melo Strawberry Mango,1334669,melo10.pdf,/coas/beverages/melo10.pdf,,,2025-09-29,
Beverages,Melo Wild Berry,1334664,melo10.pdf,/coas/beverages/melo10.pdf,,,2025-09-29,
Edibles,Chocolate Brownie,2510CCH0885.5876,2510CCH0885.5876%20-%20Big%20Box%20Hemp%20Co%20-%20Chocolate%20Brownie.pdf,/coas/edibles/2510CCH0885.5876%20-%20Big%20Box%20Hemp%20Co%20-%20Chocolate%20Brownie.pdf,2510CCH0885.5876,,2025-10-21,
Edibles,Strawberry Lemon Drop Cookie,2510CCH0885.5878,2510CCH0885.5878%20-%20Big%20Box%20Hemp%20Co%20-%20Strawberry%20Lemon%20Drop%20Cookie.pdf,/coas/edibles/2510CCH0885.5878%20-%20Big%20Box%20Hemp%20Co%20-%20Strawberry%20Lemon%20Drop%20Cookie.pdf,2510CCH0885.5878,,2025-10-21,
Edibles,Chocolate Chip Cookie,2510CCH0885.5879,2510CCH0885.5879%20-%20Big%20Box%20Hemp%20Co%20-%20Chocolate%20Chip%20Cookie.pdf,/coas/edibles/2510CCH0885.5879%20-%20Big%20Box%20Hemp%20Co%20-%20Chocolate%20Chip%20Cookie.pdf,2510CCH0885.5879,,2025-10-21,
Edibles,Chocolate Supreme Cookie,2510CCH0885.5880,2510CCH0885.5880%20-%20Big%20Box%20Hemp%20Co%20-%20Chocolate%20Supreme%20Cookie.pdf,/coas/edibles/2510CCH0885.5880%20-%20Big%20Box%20Hemp%20Co%20-%20Chocolate%20Supreme%20Cookie.pdf,2510CCH0885.5880,,2025-10-21,
Edibles,Raspberries & Dark Chocolate W White Chocolate Crunch,2510CCH0885.5881,2510CCH0885.5881%20-%20Big%20Box%20Hemp%20Co%20-%20Raspberries%20&%20Dark%20Chocolate%20W_%20White%20Chocolate%20Crunch.pdf,/coas/edibles/2510CCH0885.5881%20-%20Big%20Box%20Hemp%20Co%20-%20Raspberries%20&%20Dark%20Chocolate%20W_%20White%20Chocolate%20Crunch.pdf,2510CCH0885.5881,,2025-10-21,
Edibles,S'Mores,2510CCH0885.5882,2510CCH0885.5882%20-%20Big%20Box%20Hemp%20Co%20-%20S'Mores.pdf,/coas/edibles/2510CCH0885.5882%20-%20Big%20Box%20Hemp%20Co%20-%20S'Mores.pdf,2510CCH0885.5882,,2025-10-21,
Edibles,Muddy Buddy,2510CCH0885.5883,2510CCH0885.5883%20-%20Big%20Box%20Hemp%20Co%20-%20Muddy%20Buddy.pdf,/coas/edibles/2510CCH0885.5883%20-%20Big%20Box%20Hemp%20Co%20-%20Muddy%20Buddy.pdf,2510CCH0885.5883,,2025-10-21,
Edibles,THC Liquid,2510CCH0885.5884,2510CCH0885.5884%20-%20Big%20Box%20Hemp%20Co%20-%20THC%20Liquid.pdf,/coas/edibles/2510CCH0885.5884%20-%20Big%20Box%20Hemp%20Co%20-%20THC%20Liquid.pdf,2510CCH0885.5884,,2025-10-21,
Edibles,CBN THC Liquid,2510CCH0885.5885,2510CCH0885.5885%20-%20Big%20Box%20Hemp%20Co%20-%20CBN_THC%20Liquid.pdf,/coas/edibles/2510CCH0885.5885%20-%20Big%20Box%20Hemp%20Co%20-%20CBN_THC%20Liquid.pdf,2510CCH0885.5885,,2025-10-21,
Flower,Lemon Cherry Gelato,2508CCH0672.4356,2508CCH0672.4356%20-%20Caroux%20Holdings%20LLC%20-%20Lemon%20Cherry%20Gelato.pdf,/coas/flower/2508CCH0672.4356%20-%20Caroux%20Holdings%20LLC%20-%20Lemon%20Cherry%20Gelato.pdf,2508CCH0672.4356,,2025-08-30,
Flower,Oreoz,2509CCH0798.4935,2509CCH0798.4935%20-%20Caroux%20Holdings%20LLC%20-%20Flower%201%20-%20Oreoz.pdf,/coas/flower/2509CCH0798.4935%20-%20Caroux%20Holdings%20LLC%20-%20Flower%201%20-%20Oreoz.pdf,2509CCH0798.4935,,2025-09-30,
Flower,Scorpion Tears,2509CCH0798.4936,2509CCH0798.4936%20-%20Caroux%20Holdings%20LLC%20-%20Flower%202%20-%20Scorpion%20Tears.pdf,/coas/flower/2509CCH0798.4936%20-%20Caroux%20Holdings%20LLC%20-%20Flower%202%20-%20Scorpion%20Tears.pdf,2509CCH0798.4936,,2025-09-30,
Flower,Menage,2509CCH0798.4941,2509CCH0798.4941%20-%20Caroux%20Holdings%20LLC%20-%20Flower%207%20-%20Menage.pdf,/coas/flower/2509CCH0798.4941%20-%20Caroux%20Holdings%20LLC%20-%20Flower%207%20-%20Menage.pdf,2509CCH0798.4941,,2025-09-30,
Flower,Hooch,2509CCH0798.4942,2509CCH0798.4942%20-%20Caroux%20Holdings%20LLC%20-%20Flower%208%20-%20Hooch.pdf,/coas/flower/2509CCH0798.4942%20-%20Caroux%20Holdings%20LLC%20-%20Flower%208%20-%20Hooch.pdf,2509CCH0798.4942,,2025-09-30,
Flower,Cookie Mintz,2509CCH0798.4943,2509CCH0798.4943%20-%20Caroux%20Holdings%20LLC%20-%20Flower%209%20-%20Cookie%20Mintz.pdf,/coas/flower/2509CCH0798.4943%20-%20Caroux%20Holdings%20LLC%20-%20Flower%209%20-%20Cookie%20Mintz.pdf,2509CCH0798.4943,,2025-09-30,
Flower,Canal Street Runtz,47440122-8,Canal%20St%20Runtz%2011.5.25%20COA.pdf,/coas/flower/Canal%20St%20Runtz%2011.5.25%20COA.pdf,,,,
Flower,Candy Runtz,2503PHS0585.2693,Candy%20Runtz.pdf,/coas/flower/Candy%20Runtz.pdf,,,,
Flower,Doll Face,46840119-17,Doll%20Face%2010.19%20COA.pdf,/coas/flower/Doll%20Face%2010.19%20COA.pdf,,,2025-10-19,
Flower,Don Mega,46840119-18,Don%20Mega%2010.19%20COA.pdf,/coas/flower/Don%20Mega%2010.19%20COA.pdf,,,2025-10-19,
Flower,Gush Runtz,47441121-12,Gruntz%2011.5.25%20COA.pdf,/coas/flower/Gruntz%2011.5.25%20COA.pdf,,,,
Flower,Halle Berry,2503PHS0562.2563,Halle%20Berry.pdf,/coas/flower/Halle%20Berry.pdf,,,,
Flower,High Octane,2503PHS0562.2567,High%20Octane.pdf,/coas/flower/High%20Octane.pdf,,,,
Flower,Hood Candy,2410PHS1465.6582,Hood%20Candy.pdf,/coas/flower/Hood%20Candy.pdf,,,,
Flower,Icecream Cake,46541674-3,ICC%2011.5.25%20COA.pdf,/coas/flower/ICC%2011.5.25%20COA.pdf,,,2025-11-05,
